分類	書名	説明	URL
經部	十三經注疏	嘉靖中福建刊本　有山井鼎山井璞助識語	../ShiSanJingZhuShu/html/top.html
經部	十三經註疏 殘	崇禎中古虞毛氏汲古閣刊本	A034menu.html
經部	周易正義　十四卷	唐孔穎達等奉敕撰　舊鈔本	../ShiSanJingZhuShu/html/A014menu.html
經部	周易筮述　八卷	淸王弘撰撰　乾隆五十八年朝坂蕭氏滋德堂刊本	A029menu.html
經部	尚書正義　二十卷	漢孔安國傳　唐孔穎達等疏　弘化四年熊本藩時習館用足利學校藏南宋本景刊	A027menu.html
經部	尚書譜　五卷	清梅鴛撰　鈔本	A046menu.html
經部	古文尚書冤詞補正 不分卷	淸周春撰　民國二十七年徐征鈔本	A048menu.html
經部	古文尚書條辨  五卷	淸梁上國撰　鈔本	A050menu.html
經部	書序答問  一卷	淸王詠霓撰　刊本	A049menu.html
經部	毛詩 二十卷	日本鈔本	A044menu.html
經部	新鐫鄒臣虎先生詩經翼註講意　不分卷	明鄒之麟撰   刊本	A042menu.html
經部	周禮正義殘		A064menu.html
經部	律呂新書淺釋		A053menu.html
經部	春秋釋例十五卷		A055menu.html
經部	附釋音春秋左傳註疏　六十卷	晉杜預注　唐陸德明音義　唐孔穎達等疏　宋刊本	A017menu.html
經部	監本附音春秋公羊註疏　二十八卷	漢何休學　唐陸德明音義　□闕名疏　宋刊本	A018menu.html
經部	監本附音春秋穀梁傳註疏　二十卷	晉范甯集解　唐陸德明音義　唐楊士勛疏　宋刊本	A019menu.html
經部	春秋解 十五卷	宋胡銓撰　鈔本	A037menu.html
經部	論語十卷坿南宗論語考異一卷天文板論語考		A056menu.html
經部	論語　零片	魏何晏集解　舊鈔本	A015menu.html
經部	大學章句一卷中庸章句一卷論語集註十卷孟子集註十四卷		A057menu.html
經部	大學億　二卷 釋疑　一卷	明王道撰 中御門資煕鈔本	A041menu.html
經部	古文孝經一卷坿附錄一卷		A058menu.html
經部	同文囮雅 六卷	□雲厓居士撰   鈔本	A043menu.html
經部	說文解字　十五卷	漢許愼撰　宋徐鉉等奉敕校定　虞山毛氏汲古閣刊第四次修改本	A030menu.html
經部	說文解字　十五卷	漢許愼撰　宋徐鉉等奉敕校定　據汲古閣本重刊　有惠棟席世昌校語席淏識語圖記	A020menu.html
經部	說文解字　十五卷	漢許愼撰　宋徐鉉等奉敕校定　乾隆三十八年大興朱氏椒華吟舫據汲古閣本重刊	A038menu.html
經部	說文解字　十五卷　 坿 　汲古閣說文解字校記　一卷	光緒七年淮南書局據汲古閣第四次樣本重刊	A024menu.html
經部	說文解字	[經-Ⅹ-2-8]	A054menu.html
經部	說文解字	[經-Ⅹ-2-9]	A052menu.html
經部	說文解字　十五卷　 坿 　通檢　十四卷　末一卷	漢許愼撰　宋徐鉉等奉敕校定　通檢　淸黎永椿撰　同治十二年番禺陳昌治校刊本	A028menu.html
經部	說文解字　十五卷　 坿 　說文部首　一卷	漢許愼撰　宋徐鉉等奉敕校定 部首　淸丁艮善輯　光緒七年日照丁氏據汲古閣舊藏宋監本重校刊  部首 光緒十年刊	A025menu.html
經部	說文解字繫傳　四十卷	南唐徐鍇撰　道光十九年壽陽祁氏據景宋鈔本重刊	A047menu.html
經部	說文解字繫傳　四十卷　 坿 　校勘記　三卷	南唐徐鍇撰　校勘記　淸祁寯藻撰　道光十九年壽陽祁氏據景宋鈔本重刊	A039menu.html
經部	許氏說文解字五音韻譜　十二卷	宋李燾撰　嘉靖十一年孫氏刊本	A045menu.html
經部	說文解字五音韻譜　十二卷	宋李燾撰　萬曆二十六年崇川陳大科白狼書社刊本	A023menu.html
經部	重刊許氏說文解字五音韻譜　十二卷	宋李燾撰　天啓七年世裕堂刊本	A016menu.html
經部	郋園小學四種		A059menu.html
經部	改併五音類聚四聲篇　十五卷 五音集韻　十五卷  坿  新編經史正音切韻指南　一卷 新編篇韻貫珠集　八卷 直指玉鑰匙門法　一卷	金韓道昭撰 切韻指南 元劉鑑撰 篇韻貫珠集 明釋眞空撰　　正德十年刊本  切韻指南 正德十一年刊	A040menu.html
經部	三字經　一卷	瑞凝堂刊本	A033menu.html
經部	増修互註禮部韻略　殘一卷	宋闕名撰　宋毛晃增注　男毛居正重增刊本	A022menu.html
經部	高郵王氏父子論韻文稿　不分卷	淸王念孫王引之同撰　昭和十一年東方文化學院京都研究所據北平人文科學研究所藏本重鈔	A031menu.html
經部	直音彙韻　一卷	明闕名輯　明刊本	A032menu.html
經部	歙江氏二十一部諧聲表　一卷　入聲表凡例　一卷　 坿 　句容陳氏十九部諧聲孳生述　一卷	淸江有誥撰　十九部諧聲孳生述　淸陳立撰　江都李祖望半畝園鈔本	A026menu.html
經部	英語集全　六卷	淸唐廷樞撰　同治元年廣東刊本　緯經堂藏板	A021menu.html
史部	漢書　零片	漢班固撰　唐顏師古注　宋刊本	B001menu.html
史部	後漢書　九十卷　 坿 　續漢志　三十卷	劉宋范曄撰　唐李賢注　續志　晉司馬彪撰　梁劉昭注　宋刊本	B004menu.html
史部	史記正義佚文　不分卷	日本瀧川龜太郎輯　鈔本	B048menu.html
史部	少備通鑑節要五十卷外紀四卷		B161menu.html
史部	新刊補遺標題論策綱鑑全備精要　二十卷	明郭子章蘇濬同輯　萬曆二十年余秀峯刊本	B107menu.html
史部	皇朝編年備要　三十卷	宋陳均撰　淸白草廬鈔本　有馬玉堂圖記	B013menu.html
史部	三朝北盟會編　二百五十卷	宋徐夢莘撰　鈔本	B073menu.html
史部	山海經十八卷		B148menu.html
史部	金史補　不分卷	淸杭世駿輯　鈔本　有繆荃孫圖記	B005menu.html
史部	宗室王公章京世襲爵秩册	鈔本	B028menu.html
史部	淸史天文志　不分卷	鄧傑臣王崇源同撰　淸史館鈔本　有柯劭忞識語	B006menu.html
史部	儒林公議　不分卷	宋田況撰　鈔本　有曹溶古林武進盛氏所藏圖記	B022menu.html
史部	牙帖執照九種	咸豐宣統閒	B134menu.html
史部	行文底檔	淸宣統中官撰　宣統二年至六年八年至十三年鈔	B050menu.html
史部	唐大詔令集　一百三十卷	宋宋敏求輯　鈔本	B074menu.html
史部	六諭衍義一卷		B149menu.html
史部	國朝諸臣奏議　殘二十六卷	宋趙汝愚輯　宋刊　大德元統閒福州路補刊本	B007menu.html
史部	孫文定公行述　一卷	淸宋維中輯   道光二十一年 春園宋氏也足山房鈔本	B018menu.html
